Year ;From;To;Distance (Kilometers)
2013;Qurayat;Qurayat;0.0
2013;Majma'ah;Hail;447.0
2013;Majma'ah;Dammam;596.0
2013;Majma'ah;Majma'ah;0.0
2013;Majma'ah;Buraidah;182.0
2013;Majma'ah;Kharj;258.0
2013;Majma'ah;Hofuf;586.0
2013;Majma'ah;Qurayat;1373.0
2013;Madinah;Riyadh;855.0
2013;Madinah;Abqiq;1180.0
2013;Madinah;Kharj;933.0
2013;Hofuf;Abha;1422.0
2013;Hofuf;Najran;1679.0
2013;Hofuf;Abqiq;63.0
2013;Buraidah;Jazan;1607.0
2013;Buraidah;Sakaka;663.0
2013;Buraidah;Madinah;493.0
2013;Buraidah;Abqiq;662.0
2013;Buraidah;Jeddah;914.0
2013;Tabuk;Hail;657.0
2013;Tabuk;Sakaka;471.0
2013;Tabuk;Makkah;1105.0
2013;Tabuk;Taif;1181.0
2013;Tabuk;Tabuk;0.0
2013;Tabuk;Hofuf;1664.0
2013;Jeddah;Abha;674.0
2013;Jeddah;Abqiq;1281.0
2013;Jeddah;Qurayat;1497.0
2013;Jazan;Majma'ah;1425.0
2013;Jazan;Sakaka;2073.0
2013;Jazan;Najran;486.0
2013;Jazan;Khobar;2108.0
2013;Jazan;Baha;524.0
2013;Hail;Dammam;1043.0
2013;Hail;Majma'ah;447.0
2013;Hail;Sakaka;574.0
2013;Hail;Abha;1618.0
2013;Hail;Taif;1120.0
2013;Hail;Khobar;1043.0
2013;Hail;Baha;1323.0
2013;Hail;Buraidah;265.0
2013;Hail;Jeddah;1032.0
2013;Hail;Hofuf;1033.0
2013;Hufr Al-Baten;Jazan;1728.0
2013;Hufr Al-Baten;Majma'ah;303.0
2013;Hufr Al-Baten;Sakaka;1148.0
2013;Hufr Al-Baten;Madinah;978.0
2013;Hufr Al-Baten;Taif;1265.0
2013;Hufr Al-Baten;Hufr Al-Baten;0.0
2013;Hufr Al-Baten;Khobar;506.0
2013;Hufr Al-Baten;Abqiq;545.0
2013;Sakaka;Arar;154.0
2013;Sakaka;Jazan;2073.0
2013;Sakaka;Baha;1630.0
2013;Sakaka;Buraidah;663.0
2013;Sakaka;Hofuf;1431.0
2013;Sakaka;Qurayat;368.0
2013;Turaif;Riyadh;1300.0
2013;Turaif;Kharj;1378.0
2013;Arar;Makkah;1505.0
2013;Arar;Baha;1784.0
2013;Arar;Jeddah;1493.0
2013;Arar;Tabuk;625.0
2013;Arar;Qurayat;398.0
2013;Makkah;Arar;1505.0
2013;Makkah;Hail;1044.0
2013;Makkah;Jazan;803.0
2013;Makkah;Madinah;433.0
2013;Makkah;Makkah;0.0
2013;Makkah;Hufr Al-Baten;1341.0
